Score,Pass/N
595,0
454,0
605,0
456,0
439,0
603,0
853,1
873,1
732,1
360,0
361,0
662,0
570,0
476,0
469,0
516,0
354,0
660,1
542,0
438,0
627,1
852,1
406,0
660,1
585,0
365,0
862,1
866,1
402,0
559,0
639,0
364,0
528,0
565,0
770,1
483,0
796,1
589,0
405,0
471,0
539,0
675,1
856,1
635,0
533,0
466,0
614,0
738,1
616,1
695,1
629,0
417,0
523,0
375,0
600,0
524,0
729,1
630,0
824,1
851,1
799,1
599,0
532,0
719,1
368,0
710,1
700,1
658,0
641,1
796,1
585,0
386,0
681,1
632,0
722,1
834,1
401,0
416,0
765,1
602,0
843,1
810,1
638,0
755,1
363,0
427,0
835,1
408,0
555,0
596,0
799,1
733,1
570,0
578,0
698,1
522,0
503,0
807,1
685,1
637,0
409,0
630,0
809,1
540,0
446,0
522,0
657,1
539,0
518,0
550,0
812,1
643,0
578,0
705,1
813,1
567,0
513,0
822,1
511,0
799,1
372,0
606,0
587,0
417,0
443,0
532,0
799,1
741,1
673,0
623,0
508,0
576,0
580,0
431,0
647,0
757,1
681,1
385,0
432,0
709,1
384,0
802,1
773,1
392,0
452,0
481,0
623,0
597,0
595,0
586,0
756,1
563,0
836,1
518,0
555,0
412,0
754,1
602,0
392,0
572,0
567,0
565,0
447,0
795,1
751,1
857,1
421,0
834,1
712,1
738,1
430,0
377,0
544,0
662,1
857,1
558,0
445,0
779,1
543,0
418,0
361,0
526,0
772,1
867,1
498,0
617,0
728,1
813,1
846,1
546,0
555,0
725,1
378,0
604,1
443,0
423,0
808,1
371,0
561,0
871,1
361,0
750,1
835,1
732,1
361,0
609,0
868,1
520,0
690,1
573,0
696,1
368,0
591,0
797,1
382,0
615,0
363,0
857,1
511,0
544,0
661,0
863,1
699,1
598,0
766,1
691,1
837,1
571,0
466,0
458,0
661,1
713,1
766,1
486,0
494,0
432,0
843,1
457,0
740,1
733,1
754,1
486,0
837,1
432,0
704,1
402,0
526,0
690,1
432,0
595,0
431,0
608,1
768,1
625,0
582,0
464,0
360,0
832,1
528,0
764,1
461,0
795,1
488,0
406,0
642,1
782,1
533,0
612,1
382,0
832,1
805,1
787,1
592,0
818,1
762,1
754,1
467,0
371,0
497,0
830,1
494,0
419,0
789,1
852,1
601,0
434,0
614,0
581,0
550,0
451,0
616,0
542,0
491,0
458,0
546,0
871,1
813,1
849,1
838,1
622,0
689,1
766,1
609,0
656,1
589,0
396,0
513,0
402,0
505,0
793,1
820,1
561,0
711,1
817,1
732,1
637,0
741,1
717,1
379,0
559,0
602,0
652,0
825,1
521,0
658,1
856,1
526,0
546,0
851,1
815,1
388,0
374,0
407,0
356,0
430,0
737,1
679,0
750,1
524,0
757,1
366,0
617,0
680,1
621,0
620,0
587,0
403,0
710,1
713,1
370,0
712,1
682,1
576,0
856,1
772,1
422,0
617,1
773,1
533,0
672,1
431,0
554,0
385,0
561,0
540,0
431,0
618,0
358,0
459,0
527,0
815,1
534,0
387,0
605,0
406,0
866,1
617,0
714,1
747,1
721,1
541,0
805,1
416,0
690,1
655,0
739,1
517,0
569,0
603,0
799,1
639,0
702,1
808,1
849,1
573,0
436,0
485,0
350,0
621,0
786,1
734,1
500,0
430,0
752,1
607,0
814,1
809,1
445,0
618,0
670,1
392,0
694,1
784,1
572,0
561,0
830,1
361,0
862,1
517,0
801,1
605,1
731,1
685,1
456,0
534,0
